"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{B85E2336-26AB-47A7-B2BF-91CDE1A7E3BA}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Toolbox","__Display name","Toolbox","Toolbox",""
"{150D9F3E-1782-4439-A0DC-532426428BC5}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules","__Display name","Rules","Rules",""
"{F0A00908-B86C-4A32-A824-96D78A1C76AA}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules Based Report","__Display name","Rules Based Report","Rules Based Report",""
"{2805C06C-F17D-4C8E-813D-7304564078EB}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Toolbox/Index Viewer","__Display name","Index Viewer","Index Viewer",""
"{FE29E5C3-7A3F-44E6-81F4-F22DDEC3CFAE}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Content Editor/Insert Item/PowerShell Rule Library","__Display name","PowerShell Rule Library","PowerShell Rule Library",""
"{3B93315F-C240-4682-A45F-CDB09D0F2F65}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules/Any item under Content has layout","__Display name","Any item under Content has layout","Any item under Content has layout",""
"{246CF1B3-1F49-42FF-8F51-9F6279397251}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules/Any item under Content has too many versions","__Display name","Any item under Content has too many versions","Any item under Content has too many versions",""
"{9AB5103C-C40F-4A44-A35E-FA92EDEE9391}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules/Any item under Content is locked","__Display name","Any item under Content is locked","Any item under Content is locked",""
"{D7A1FED5-D7F3-4FB2-B1D0-1C08F94EAABB}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules/Media item is jpeg","__Display name","Media item is jpeg","Media item is jpeg",""
"{99839B36-9947-4CD9-B6EA-F4E59EA972A0}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules/Media item with empty Alt field","__Display name","Media item with empty Alt field","Media item with empty Alt field",""
"{F02D18C2-2F4C-4845-8D15-8DD03CC20C31}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/Item","__Display name","Item","Item",""
"{7B295589-1A67-4D17-9E21-ACC9FBE3A705}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/SearchResultItem","__Display name","SearchResultItem","SearchResultItem",""
"{B00381B5-A50C-445F-A23F-B5D01272FE17}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/Item/Find and Replace","__Display name","Find and Replace","Find and Replace",""
"{542EED7B-4464-418E-AA70-F7342BF3D046}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Open","__Display name","Open","Open",""
"{E9CDD2D4-0FAA-4FE2-802D-F686749CA236}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Rebuild","__Display name","Rebuild","Rebuild",""
"{50EE334B-C2B0-47DC-9D7A-CE9D6A8149CE}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Refresh","__Display name","Refresh","Refresh",""
