"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{EE368C71-B105-4B26-B938-60BEBC0E47E8}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core","__Long description","Core","No touchy! If you start messing around with the scripts in here the module will break in powerful ways.",""
"{5E1F1B3B-EF89-4D00-82E2-36629DA4F3AD}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance","__Long description","Maintenance","Bundle of maintenance scripts that can assist you in keeping your solution running solid.",""
"{1CED8E94-0458-4E3A-8CEE-38F7EFA93E15}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting","__Long description","Reporting","Bundle of reports to help you learn more about the content being managed.",""
"{F15B3095-FF78-444B-97EE-5AE9AE7BBB59}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples","__Long description","Samples","Bundle of sample scripts to help you learn more about SPE.",""
"{486437B1-8A1D-4184-BC07-5C394F7EA13C}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools","__Long description","Tools","Bundle of tools to help you save lots of time.",""
"{97909803-E651-41E4-A13A-BA1A831685B3}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples/Getting Started/User Interaction","__Display name","User Interaction","User Interaction - How to...",""
"{7760775F-0CE7-4A01-A4E5-1AB9103FFFD3}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/PowerShell Background Session Manager","__Short description","PowerShell Background Session Manager","Manage sessions created by PowerShell.",""
"{D5C7F7B5-524F-43B5-A19B-89247CF713DE}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/Rebuild script integration points","__Short description","Rebuild script integration points","Rebuild items generated for the ribbon, gutter and ...",""
"{EB994C17-44B1-4620-9DCF-DF046812F016}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/Re-create site from sitemap","__Short description","Re-create site from sitemap","Create content items based on a sitemap structure.",""
"{BBC64A41-D1FE-4C09-A76A-6A8E01B479D9}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Core/Platform/Toolbox/About Sitecore PowerShell Extensions","__Short description","About Sitecore PowerShell Extensions","View version details about SPE.",""
"{E68879C2-E532-442D-AD98-A9955F3BBC70}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/Task Management/Toolbox/Task Manager","__Short description","Task Manager","Managed scheduled tasks.",""
"{C7FA7F43-8AB1-46A8-8CF5-620030B5947F}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/User Management/Reports/Users","__Short description","Users","Review general details about users.",""
"{FB9F165C-7AA8-4833-B5AD-D14598E71BC9}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/User Management/Toolbox/Logged in Session Manager","__Short description","Logged in Session Manager","View and kick user concurrent user sessions.",""
"{0ACBFEA0-C6B1-4263-993F-5BCB231A1FFF}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Configuration Audit","__Short description","Configuration Audit","Review general details about the Sitecore solution.",""
"{66D85BC1-4DC1-4172-94C0-FD6CD5D8E47A}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Content Audit","__Short description","Content Audit","Review details about content and media items.",""
