"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{F0A00908-B86C-4A32-A824-96D78A1C76AA}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules Based Report","__Short description","Rules Based Report","Run custom reports built using queries and the rules engine.","Kør brugerdefinerede rapporter bygget med forespørgsler og reglemotoren."
"{F0A00908-B86C-4A32-A824-96D78A1C76AA}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Reports/Rules Based Report","__Long description","Rules Based Report","Run custom reports built using queries and the rules engine.","Kør brugerdefinerede rapporter bygget med forespørgsler og reglemotoren."
"{2805C06C-F17D-4C8E-813D-7304564078EB}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Toolbox/Index Viewer","__Short description","Index Viewer","Peek into the search index; useful in troubleshooting indexing issues.","Smugkig ind i søgeindekset; brugbart ved fejlsøgning af indeksfejl."
"{743B8C3C-BA19-4E24-B324-C01DCD20F465}","/sitecore/templates/Modules/PowerShell Authorable Reports/PowerShell Rule/Search/Query","Title","Query","Search scope - primary query used for returning results","Rækkevide for søgningen - primær forespørgsel anvendt til at returnere resultater"
"{072645B6-C332-446F-9F2C-255467AF5BC9}","/sitecore/templates/Modules/PowerShell Authorable Reports/PowerShell Rule/Search/RootItem","Title","RootItem","Root node - fallback when not using the search index","Rodnode - fallback når søgeindekset ikke bliver brugt"
"{37D9ED28-C31B-4686-8564-A0F181721640}","/sitecore/templates/Modules/PowerShell Authorable Reports/PowerShell Rule/Filter/FilterRule","Title","FilterRule","Filter rules - applied after the search completes","Filtreringsregler - tilføjet efter søgningen blev færdig"
"{52C8F3B7-3110-41D1-ABCA-979ED691135C}","/sitecore/templates/Modules/PowerShell Authorable Reports/PowerShell Rule/Report/DefaultFields","Title","DefaultFields","Pipe delimited list of fields returned by the report","Pipe adskilt liste af felter returneret af rapporten"
"{542EED7B-4464-418E-AA70-F7342BF3D046}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Open","__Short description","Open","Open the related content item.","Åbn det relaterede indholdselementer."
"{E9CDD2D4-0FAA-4FE2-802D-F686749CA236}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Rebuild","__Short description","Rebuild","Rebuild the item in the search index.","Genbyg elementet i søgeindekset."
"{50EE334B-C2B0-47DC-9D7A-CE9D6A8149CE}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Refresh","__Short description","Refresh","Refresh the results.","Genopfrisk resultaterne."
