"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{10052E00-DF82-4271-93C4-994F9D4D6B80}","/sitecore/content/Documents and settings/All users/Start menu/Right/Development Tools/PowerShell ISE","Tool tip","PowerShell ISE","Tool for writing PowerShell scripts.","Værktøj til at skrive PowerShell scripts."
"{10052E00-DF82-4271-93C4-994F9D4D6B80}","/sitecore/content/Documents and settings/All users/Start menu/Right/Development Tools/PowerShell ISE","Display name","PowerShell ISE","PowerShell ISE","PowerShell ISE"
"{743877AB-3556-4A61-926D-F0DEDE280D72}","/sitecore/content/Documents and settings/All users/Start menu/Right/PowerShell Toolbox","Tool tip","PowerShell Toolbox","Custom tools built with PowerShell scripts.","Brugerdefinerede værktøjer bygget med PowerShell scripts."
"{743877AB-3556-4A61-926D-F0DEDE280D72}","/sitecore/content/Documents and settings/All users/Start menu/Right/PowerShell Toolbox","Display name","PowerShell Toolbox","PowerShell Toolbox","PowerShell værktøjskasse"
"{8803C527-14AF-4750-9F5D-44770AEC7805}","/sitecore/content/Documents and settings/All users/Start menu/Right/Reporting Tools/PowerShell Reports","Tool tip","PowerShell Reports","Reports written with Sitecore PowerShell Extensions","Rapporter skrevet med Sitecore PowerShell udvidelsen"
"{8803C527-14AF-4750-9F5D-44770AEC7805}","/sitecore/content/Documents and settings/All users/Start menu/Right/Reporting Tools/PowerShell Reports","Display name","PowerShell Reports","PowerShell Reports","PowerShell rapporter"
"{9D4A541D-3A5B-4BAE-B3F4-3790723EF3FC}","/sitecore/content/Applications/Content Editor/Context Menues/Default/Edit Script","Display name","Edit Script","Edit with ISE","Editer med ISE"
"{91447F09-FD62-4BE6-96AF-265FAEBD1429}","/sitecore/content/Applications/Content Editor/Context Menues/Default/PowerShell Console","Display name","PowerShell Console","Console","Konsol"
"{3FB872EC-B14E-4603-AA0D-DB184E7605E7}","/sitecore/content/Applications/Content Editor/Context Menues/Default/Context PowerShell Scripts","Display name","Context PowerShell Scripts","Scripts","Scripts"
"{BFC79034-857C-4432-A5C2-2D93AF784384}","/sitecore/client/Applications/Launchpad/PageSettings/Buttons/ContentEditing/PowerShell ISE","Text","PowerShell ISE","PowerShell ISE","PowerShell ISE"
"{6857D035-AB70-4DAC-8E7F-C6534BB8141F}","/sitecore/content/Applications/PowerShell/PowerShellIse","Tool tip","PowerShellIse","Interface for writing PowerShell scripts.","Brugergrænseflade til at skrive PowerShell scripts."
"{6857D035-AB70-4DAC-8E7F-C6534BB8141F}","/sitecore/content/Applications/PowerShell/PowerShellIse","Display name","PowerShellIse","PowerShell ISE","PowerShell ISE"
"{EC050E47-CB0E-481C-B299-ABD275258FC6}","/sitecore/content/Applications/PowerShell/PowerShellListView","Tool tip","PowerShellListView","Shows results from PowerShell","Vis resultater fra PowerShell"
"{EC050E47-CB0E-481C-B299-ABD275258FC6}","/sitecore/content/Applications/PowerShell/PowerShellListView","Display name","PowerShellListView","List View","Listevisning"
