"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{A3572733-5062-43E9-A447-54698BC1C637}","/sitecore/system/Modules/PowerShell/Script Library","__Display name","Script Library","Script Library",""
"{A3572733-5062-43E9-A447-54698BC1C637}","/sitecore/system/Modules/PowerShell/Script Library","__Long description","Script Library","Contains PowerShell scripts stored in libraries and modules.",""
"{A3572733-5062-43E9-A447-54698BC1C637}","/sitecore/system/Modules/PowerShell/Script Library","__Short description","Script Library","Sitecore PowerShell Extensions script library.",""
"{6F442AC9-7001-4124-9BC3-589875876C27}","/sitecore/templates/Modules/PowerShell Console/PowerShell Console Settings/Appearance/FontSize","Title","FontSize","__Standard Values",""
"{86ECC435-0924-4EA0-92D8-CCA12ED7E644}","/sitecore/templates/Modules/PowerShell Console/PowerShell Console Settings/Appearance/FontFamily","Title","FontFamily","__Standard Values",""
"{464C9789-617A-4CE6-988C-8AF421B6D385}","/sitecore/templates/Modules/PowerShell Console/PowerShell Delegated Access/Access Mapping/Enabled","Title","Enabled","Enable the delegated access",""
"{A0506748-B498-49C9-8B25-23F9030C1A98}","/sitecore/templates/Modules/PowerShell Console/PowerShell Delegated Access/Access Mapping/ElevatedRole","Title","ElevatedRole","Elevated Role (the current user must be a member)",""
"{FF4855AB-377F-4CF5-94C7-4A8EE32D143F}","/sitecore/templates/Modules/PowerShell Console/PowerShell Delegated Access/Access Mapping/ImpersonatedUser","Title","ImpersonatedUser","Impersonated User (scripts will be executed as this user)",""
"{75560CD0-EB3F-45D4-AB41-4B37DDE1C741}","/sitecore/templates/Modules/PowerShell Console/PowerShell Delegated Access/Access Mapping/ScriptItem","Title","ScriptItem","Script Item (one or more scripts to delegate access)",""
"{6D22BCCE-2799-4324-B0D9-C44DF5EFFAF3}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/About/Description","Title","Description","__Standard Values",""
"{7093B5A2-4406-4272-9759-238BF60814FD}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/About/Whats new","Title","Whats new","__Standard Values",""
"{67E00FBC-C080-4F57-8CFC-70095AAB39E0}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/About/History","Title","History","__Standard Values",""
"{9911A28E-2120-4AB0-9113-5BAE386769C1}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/About/Module Version","Title","Module Version","__Standard Values",""
"{53996CFF-BB46-498C-AE54-5D8C6AA7B6A4}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/Copyright/Author","Title","Author","__Standard Values",""
"{8DBAF611-51C6-4A44-A0DB-92C3DC6DDAC9}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/Copyright/Url","Title","Url","__Standard Values",""
"{BF45C4B6-CC60-4FEC-B6CE-E260C306FECA}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/Copyright/Email","Title","Email","__Standard Values",""
"{37CCA7C1-4B3D-4113-8218-BF621C8F8D9A}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/Copyright/Support","Title","Support","__Standard Values",""
"{5337BB18-2B6A-4326-BD7E-E00010BEC356}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/Copyright/License","Title","License","__Standard Values",""
"{E1D6475E-58E6-4A11-8BEA-2E58B6F834F6}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/Copyright/Published by","Title","Published by","__Standard Values",""
"{CC3C200C-921A-4CA8-B5F7-FF8F3AA6EBD2}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module/Copyright/Category","Title","Category","__Standard Values",""
