"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{36657C88-3F10-4B16-A3C7-03E011B0F6C2}","/sitecore/system/Modules/PowerShell/Script Library/SPE","__Long description","SPE","Location of all scripts included with SPE. Consider creating your own module folder to add custom scripts.",""
"{67B5E3AF-75C1-4E0E-9947-F51106122BE5}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions","__Long description","Extensions","Extension modules created by the SPE team are added here.",""
"{05A448FF-22B3-4449-93A7-9977F94D8941}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples/License Expiration","__Long description","License Expiration","Demonstrates how to notify users users in the Content Editor and Experience Editor when the license is about to expire. You can also send out an email by setting up the scheduled task.",""
"{72B588DF-B675-471F-A8A5-814BD93A3EF0}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples/Random desktop background","__Long description","Random desktop background","Demonstrates how to change the desktop background whenever a user is logged in.",""
"{8BF25F6A-9784-4F8D-A3EF-6AF6A2382A04}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples/Training Modules","__Long description","Training Modules","Provides a way to enable or disable the Training modules.",""
"{B85E2336-26AB-47A7-B2BF-91CDE1A7E3BA}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Toolbox","__Display name","Toolbox","Toolbox",""
"{150D9F3E-1782-4439-A0DC-532426428BC5}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Reports/Rules","__Display name","Rules","Rules",""
"{F0A00908-B86C-4A32-A824-96D78A1C76AA}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Reports/Rules Based Report","__Display name","Rules Based Report","Rules Based Report",""
"{2805C06C-F17D-4C8E-813D-7304564078EB}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Toolbox/Index Viewer","__Display name","Index Viewer","Index Viewer",""
"{148B7002-A342-4D2F-9159-E02080FE6746}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/System Maintenance/Control Panel/Administration","__Display name","Administration","Administration",""
"{9197DAE0-2896-4F5A-B122-3AD96372E4D5}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/System Maintenance/Control Panel/Database","__Display name","Database","Database",""
"{4655F9C8-16BE-4343-A101-1473823EB017}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Maintenance/System Maintenance/Control Panel/Reports","__Display name","Reports","Reports",""
"{79909674-755F-4285-A973-E476889C282F}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples/Training Modules/Toolbox/Tutorials","__Display name","Tutorials","Tutorials",""
"{79909674-755F-4285-A973-E476889C282F}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Samples/Training Modules/Toolbox/Tutorials","__Short description","Tutorials","Run to enable or disable the training modules.",""
"{03164B1C-C248-4B3C-A0D4-63F01AFF4E79}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Security Management/Reports/Security Audit","__Short description","Security Audit","Review security details about the Sitecore solution.",""
"{FE29E5C3-7A3F-44E6-81F4-F22DDEC3CFAE}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Content Editor/Insert Item/PowerShell Rule Library","__Display name","PowerShell Rule Library","PowerShell Rule Library",""
"{3B93315F-C240-4682-A45F-CDB09D0F2F65}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Reports/Rules/Any item under Content has layout","__Display name","Any item under Content has layout","Any item under Content has layout",""
"{246CF1B3-1F49-42FF-8F51-9F6279397251}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Reports/Rules/Any item under Content has too many versions","__Display name","Any item under Content has too many versions","Any item under Content has too many versions",""
"{9AB5103C-C40F-4A44-A35E-FA92EDEE9391}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Reports/Rules/Any item under Content is locked","__Display name","Any item under Content is locked","Any item under Content is locked",""
"{D7A1FED5-D7F3-4FB2-B1D0-1C08F94EAABB}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Reports/Rules/Media item is jpeg","__Display name","Media item is jpeg","Media item is jpeg",""
"{99839B36-9947-4CD9-B6EA-F4E59EA972A0}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Reports/Rules/Media item with empty Alt field","__Display name","Media item with empty Alt field","Media item with empty Alt field",""
"{183DEE78-836B-4066-B929-9155BBB7EED0}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Reporting/Content Reports/Reports/Configuration Audit/Find items with a missing template","__Short description","Find items with a missing template","Find items where the template is missing; a situation that can cause undesirable behaviors.",""
"{5CCBD486-B74D-463E-8237-90EDC28BB0F2}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Data Management/Content Editor/Context Menu/Data Management","__Display name","Data Management","Data Management",""
"{5CCBD486-B74D-463E-8237-90EDC28BB0F2}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Data Management/Content Editor/Context Menu/Data Management","__Short description","Data Management","Import content or generate data in bulk.",""
"{CFE81AF6-2468-4E62-8BF2-588B7CC60F80}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Security Management/Content Editor/Gutters/Elevated Unlock","__Short description","Elevated Unlock","Use elevated privileges to unlock this item.",""
"{C381312C-D0A8-41B9-8824-109B6434D615}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Security Management/Toolbox/Security Management/Copy user roles","__Short description","Copy user roles","Copy roles from one user to another.",""
"{99BBCD77-6DC6-4293-9DB0-00D89C1C1F50}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Security Management/Toolbox/Security Management/Transfer item security","__Short description","Transfer item security","Transfer item security from one user or role to another role.",""
"{F02D18C2-2F4C-4845-8D15-8DD03CC20C31}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Internal/List View/Ribbon/Item","__Display name","Item","Item",""
"{7B295589-1A67-4D17-9E21-ACC9FBE3A705}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Internal/List View/Ribbon/SearchResultItem","__Display name","SearchResultItem","SearchResultItem",""
"{B00381B5-A50C-445F-A23F-B5D01272FE17}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Internal/List View/Ribbon/Item/Find and Replace","__Display name","Find and Replace","Find and Replace",""
"{542EED7B-4464-418E-AA70-F7342BF3D046}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Open","__Display name","Open","Open",""
"{E9CDD2D4-0FAA-4FE2-802D-F686749CA236}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Rebuild","__Display name","Rebuild","Rebuild",""
"{50EE334B-C2B0-47DC-9D7A-CE9D6A8149CE}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Extensions/Authorable Reports/Internal/List View/Ribbon/SearchResultItem/Refresh","__Display name","Refresh","Refresh",""
"{A5CA7CD6-133F-4799-924D-BFCEB57803B3}","/sitecore/system/Modules/PowerShell/Script Library/SPE/Tools/Copy Renderings/Content Editor/Ribbon/Presentation/Layout/Final to Shared","__Short description","Final to Shared","Merge layout from Final to Shared for the selected item.",""
