"ItemID","Path","FieldId","Key","Phrase","TranslatedPhrase"
"{DADC7C07-2606-4F1C-98C6-FB8162E55257}","/sitecore/system/Modules/PowerShell","__Short description","PowerShell","Welcome to the Sitecore PowerShell Extensions module.",""
"{DADC7C07-2606-4F1C-98C6-FB8162E55257}","/sitecore/system/Modules/PowerShell","__Long description","PowerShell","Sitecore PowerShell Extensions module root.",""
"{F5F55071-697B-4769-A992-2A755FC379E5}","/sitecore/system/Tasks/Commands/PowerShellScriptCommand","__Short description","PowerShellScriptCommand","This command is used with scheduled tasks configured for executing PowerShell scripts.",""
"{F5F55071-697B-4769-A992-2A755FC379E5}","/sitecore/system/Tasks/Commands/PowerShellScriptCommand","__Long description","PowerShellScriptCommand","This command is used with scheduled tasks configured for executing PowerShell scripts.",""
"{F5F55071-697B-4769-A992-2A755FC379E5}","/sitecore/system/Tasks/Commands/PowerShellScriptCommand","__Display name","PowerShellScriptCommand","PowerShell Script Command",""
"{42FFA0E6-F121-432A-821D-D40C53560563}","/sitecore/system/Modules/PowerShell/Console Colors","__Short description","Console Colors","Colors used to customize the PowerShell Console and ISE.",""
"{42FFA0E6-F121-432A-821D-D40C53560563}","/sitecore/system/Modules/PowerShell/Console Colors","__Long description","Console Colors","Colors used to customize the PowerShell Console and ISE.",""
"{42FFA0E6-F121-432A-821D-D40C53560563}","/sitecore/system/Modules/PowerShell/Console Colors","__Display name","Console Colors","Console Colors",""
"{4406B665-C086-4D1F-9048-0E62A9863755}","/sitecore/system/Modules/PowerShell/Fonts","__Short description","Fonts","Fonts used to customize the PowerShell Console and ISE.",""
"{4406B665-C086-4D1F-9048-0E62A9863755}","/sitecore/system/Modules/PowerShell/Fonts","__Long description","Fonts","Fonts used to customize the PowerShell Console and ISE.",""
"{4406B665-C086-4D1F-9048-0E62A9863755}","/sitecore/system/Modules/PowerShell/Fonts","__Display name","Fonts","Fonts",""
"{83B665CB-DE30-453E-AD18-338C851BBA46}","/sitecore/system/Modules/PowerShell/Settings","__Short description","Settings","Interface settings to the module.",""
"{83B665CB-DE30-453E-AD18-338C851BBA46}","/sitecore/system/Modules/PowerShell/Settings","__Long description","Settings","Settings stored for each user. Includes most recently used scripts and interface customization such as font type and color.",""
"{83B665CB-DE30-453E-AD18-338C851BBA46}","/sitecore/system/Modules/PowerShell/Settings","__Display name","Settings","Settings",""
"{3950EC5C-7ABC-4B7A-98BE-2CDF30AE9FDE}","/sitecore/system/Modules/PowerShell/Snippets","__Short description","Snippets","Predefined code snippets used to assist in the authoring of scripts.",""
"{3950EC5C-7ABC-4B7A-98BE-2CDF30AE9FDE}","/sitecore/system/Modules/PowerShell/Snippets","__Long description","Snippets","Predefined code snippets used to assist in the authoring of scripts.",""
"{6D82FCD8-C379-443C-97A9-C6423C71E7D5}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Module","__Display name","PowerShell Script Module","PowerShell Script Module",""
"{02BD31B0-CED3-46F4-AB42-11BDFD8D967C}","/sitecore/templates/Modules/PowerShell Console/PowerShell Script Workflow Action","__Display name","PowerShell Script Workflow Action","PowerShell Script Workflow Action",""
"{81184848-ECF9-4448-8515-DFDBC83AC41B}","/sitecore/system/Modules/PowerShell/Console Colors/Black","__Display name","Black","Black",""
